FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1699062681,161030553,ST HELEN CATHOLIC SCHOOL,School,2700 E UNIVERSITY AVE,GEORGETOWN,"	78626",2016,"$2,699.40 ","$1,079.76 ","$1,079.76 "
1699063142,161030728,CARPE DIEM-WESTWOOD CAMPUS,School,8008 W. MILITARY DR,SAN ANTONIO,"	78227",2016,"$19,836.00 ","$15,868.80 ","$14,702.87 "
1699063408,161030866,SANTA CRUZ CATHOLIC SCHOOL,School,1100 MAIN,BUDA,"	78610",2016,"$5,200.56 ","$2,080.22 ",$0.00 
1699063556,161030926,ST LOUIS ELEMENTARY SCHOOL,School,2208 N 23RD ST,WACO,"	76708",2016,"$3,201.00 ","$1,280.40 ","$1,280.40 "
1699063833,161026643,AGAPE CHRISTIAN ACADEMY,School,3116 WEST HIGHWAY 22,CORSICANA,"	75110",2016,"$15,588.00 ","$14,029.20 ","$14,029.20 "
1699064576,161031324,St. Philip & St. Augustine Catholic Academy,School,8151 MILITARY PKWY,DALLAS,"	75227",2016,"$13,110.00 ","$7,866.00 ","$7,531.35 "
1699065019,161031511,ST BERNARD OF CLAIRVAUX SCHOOL,School,1420 OLD GATE LN,DALLAS,"	75218",2016,"$9,600.00 ","$4,800.00 ","$4,800.00 "
1699065077,161031543,MARY IMMACULATE SCHOOL,School,14032 DENNIS LN,DALLAS,"	75234",2016,"$4,657.68 ","$1,863.07 ","$1,600.41 "
1699065406,161031654,ST MARY SCHOOL,School,PO BOX 277,WEST,"	76691",2016,"$6,600.00 ","$3,300.00 ","$3,300.00 "
1699065740,161031767,ST THOMAS MORE SCHOOL,School,5927 WIGTON DR,HOUSTON,"	77096",2016,"$1,629.72 ",$814.86 ,$814.86 
1699065835,161031865,ST VINCENT DE PAUL SCHOOL,School,6802 BUFFALO SPEEDWAY,HOUSTON,"	77025",2016,"$1,766.40 ",$706.56 ,
1699065881,161031865,ST VINCENT DE PAUL SCHOOL,School,6802 BUFFALO SPEEDWAY,HOUSTON,"	77025",2016,"$4,388.40 ","$1,755.36 ","$1,755.36 "
1699065915,161031865,ST VINCENT DE PAUL SCHOOL,School,6802 BUFFALO SPEEDWAY,HOUSTON,"	77025",2016,"$3,300.00 ","$1,320.00 ","$1,320.00 "
1699066069,161031944,EXCELLENCE IN LEADERSHIP ACADEMY,School,925 W. EXPRESSWAY 83,MISSION,"	78572",2016,"$4,278.00 ","$3,850.20 ","$3,850.20 "
1699066169,161031919,CRISTO REY CATHOLIC SCHOOL,School,6700 MOUNT CARMEL ST,HOUSTON,"	77087",2016,"$1,515.12 ","$1,212.10 ","$1,212.10 "
1699066197,161031919,CRISTO REY CATHOLIC SCHOOL,School,6700 MOUNT CARMEL ST,HOUSTON,"	77087",2016,"$10,519.92 ","$8,415.94 ","$7,680.00 "
